re78,is_treat,age,educ,black,hisp,married,nodegr,re74,re75
9600,yes,28,15,yes,no,no,no,0,0
18800,yes,25,11,no,no,no,yes,0,0
18700,yes,22,12,yes,no,no,no,0,0
0,yes,21,9,yes,no,no,yes,0,0
23000,yes,40,11,yes,no,no,yes,0,0
6460,yes,22,11,yes,no,no,yes,0,0
0,yes,25,12,yes,no,no,no,0,0
2320,yes,18,12,yes,no,no,no,0,0
4940,yes,38,12,no,no,no,no,0,0
0,yes,27,13,yes,no,no,no,0,0
0,yes,27,8,yes,no,no,yes,0,0
0,yes,38,11,yes,no,no,yes,0,0
3880,yes,23,8,no,yes,no,yes,0,0
17200,yes,26,11,yes,no,no,yes,0,0
8050,yes,21,12,no,no,no,no,0,0
0,yes,25,8,yes,no,no,yes,0,0
14500,yes,31,11,yes,no,yes,yes,0,0
0,yes,17,10,yes,no,no,yes,0,0
0,yes,25,11,yes,no,no,yes,0,0
9980,yes,21,12,yes,no,no,no,0,0
0,yes,44,11,yes,no,no,yes,0,0
5590,yes,25,12,no,no,no,no,0,0
4480,yes,18,9,yes,no,no,yes,0,0
2460,yes,42,12,yes,no,no,no,0,0
0,yes,25,10,yes,no,no,yes,0,0
26800,yes,31,9,no,yes,no,yes,0,0
0,yes,24,10,yes,no,no,yes,0,0
9270,yes,26,10,yes,no,no,yes,0,0
485,yes,25,11,yes,no,no,yes,0,0
4810,yes,18,11,yes,no,no,yes,0,0
7460,yes,19,11,yes,no,no,yes,0,0
0,yes,43,9,yes,no,no,yes,0,0
34100,yes,27,13,yes,no,no,no,0,0
1950,yes,17,9,yes,no,no,yes,0,0
0,yes,30,11,yes,no,no,yes,0,0
0,yes,26,10,yes,no,yes,yes,2030,0
8880,yes,20,9,yes,no,no,yes,6080,0
6210,yes,17,9,no,yes,no,yes,445,74.3
0,yes,20,12,yes,no,no,no,989,165
930,yes,18,11,yes,no,no,yes,858,215
0,yes,27,12,yes,no,yes,no,3670,334
12600,yes,21,12,no,no,no,no,3670,334
22200,yes,27,12,yes,no,no,no,2140,358
1650,yes,20,12,yes,no,no,no,0,378
8120,yes,19,10,yes,no,no,yes,0,385
671,yes,23,12,yes,no,no,no,5510,501
17800,yes,29,14,yes,no,no,no,0,680
9740,yes,18,10,yes,no,no,yes,0,799
17700,yes,19,9,yes,no,no,yes,0,799
0,yes,27,13,no,no,yes,no,9380,854
4320,yes,18,11,no,no,no,yes,3680,920
1770,yes,27,9,yes,no,yes,yes,0,934
0,yes,22,12,yes,no,no,no,5610,936
11200,yes,23,10,yes,no,yes,yes,0,936
559,yes,23,12,no,yes,no,no,9390,1120
1090,yes,20,11,yes,no,no,yes,3640,1220
5450,yes,17,9,yes,no,no,yes,1720,1250
60300,yes,28,11,yes,no,no,yes,0,1280
1460,yes,26,11,yes,no,yes,yes,0,1390
6940,yes,20,11,yes,no,no,yes,16300,1480
4030,yes,24,11,yes,no,yes,yes,824,1670
10400,yes,31,9,yes,no,no,yes,0,1700
4230,yes,23,8,no,no,yes,yes,0,1710
11100,yes,18,10,yes,no,no,yes,2140,1780
0,yes,29,12,yes,no,no,no,10900,1820
13400,yes,26,11,no,no,no,yes,0,2230
4850,yes,24,9,yes,no,no,yes,9150,2290
0,yes,25,12,yes,no,no,no,14400,2410
1660,yes,24,10,yes,no,no,yes,4250,2420
0,yes,46,8,yes,no,no,yes,3170,2590
2480,yes,31,12,no,no,no,no,0,2610
4150,yes,19,11,yes,no,no,yes,2310,2620
9970,yes,19,8,yes,no,no,yes,0,2660
0,yes,27,11,yes,no,no,yes,2210,2670
26400,yes,26,11,yes,no,yes,yes,0,2750
5620,yes,20,10,yes,no,no,yes,5010,2780
3200,yes,28,10,yes,no,no,yes,0,2840
6170,yes,24,12,yes,no,no,no,13800,2840
7540,yes,19,8,yes,no,no,yes,2640,2940
8480,yes,23,12,yes,no,no,no,6270,3040
1290,yes,42,9,yes,no,yes,yes,0,3060
0,yes,25,13,yes,no,no,no,12400,3090
5010,yes,18,9,yes,no,no,yes,0,3290
9370,yes,21,12,yes,no,no,no,6470,3330
0,yes,27,10,yes,no,no,yes,1000,3550
4280,yes,21,8,yes,no,no,yes,989,3700
3460,yes,22,9,yes,no,no,yes,2190,3840
7380,yes,31,4,yes,no,no,yes,8520,4020
0,yes,24,10,yes,no,yes,yes,11700,4080
0,yes,29,10,yes,no,no,yes,0,4400
11000,yes,29,12,yes,no,no,no,9750,4880
13800,yes,19,10,no,no,no,yes,0,5320
6790,yes,19,11,no,yes,yes,yes,5420,5460
9560,yes,31,9,yes,no,no,yes,10700,5520
13200,yes,22,10,yes,no,yes,yes,1470,5590
744,yes,21,9,yes,no,no,yes,6420,5750
5520,yes,17,10,yes,no,no,yes,1290,5790
1420,yes,26,12,yes,no,yes,no,8410,5790
1360,yes,20,9,no,yes,no,yes,12300,5880
0,yes,19,10,yes,no,no,yes,4120,6060
673,yes,26,10,yes,no,no,yes,25900,6790
0,yes,28,11,yes,no,no,yes,1930,6870
10100,yes,22,12,no,yes,yes,no,492,7060
6280,yes,33,11,yes,no,no,yes,0,7870
12600,yes,22,12,no,no,no,no,6760,8460
5110,yes,29,10,no,yes,no,yes,0,8850
16000,yes,33,12,yes,no,yes,no,20300,10900
36600,yes,25,14,yes,no,yes,no,35000,11500
12800,yes,35,9,yes,no,yes,yes,13600,13800
3790,yes,35,8,yes,no,yes,yes,13700,18000
4180,yes,33,11,yes,no,yes,yes,14700,25100
