re78,is_treat,age,educ,black,hisp,married,nodegr,re74,re75
25600,no,33,12,no,no,yes,no,25900,25200
25600,no,40,12,no,no,yes,no,25900,14500
23600,no,25,16,no,no,yes,no,21000,22900
11300,no,33,12,no,no,no,no,12700,13000
18400,no,52,13,yes,no,no,no,19800,19700
25600,no,54,14,no,no,yes,no,24700,25200
18200,no,27,15,no,no,no,no,19200,19300
6150,no,51,10,no,no,yes,yes,7490,7890
15500,no,42,12,no,no,yes,no,6500,15200
25600,no,50,10,no,no,yes,yes,25900,25200
9040,no,47,10,no,no,yes,yes,15300,14000
20100,no,28,12,no,no,yes,no,24200,11000
25600,no,33,12,no,no,yes,no,25900,25200
22300,no,33,13,no,no,yes,no,21100,18700
25600,no,55,16,no,no,yes,no,25900,24600
25600,no,38,12,no,no,yes,no,25900,25200
25600,no,39,16,no,no,yes,no,25900,25200
25600,no,27,17,no,no,yes,no,25900,25200
4310,no,16,9,no,no,no,yes,378,467
0,no,35,12,no,no,yes,no,6650,3330
23600,no,35,12,no,no,yes,no,22400,21100
0,no,45,12,no,no,yes,no,25900,25200
20300,no,51,11,no,no,yes,yes,18300,21600
5530,no,27,16,no,no,no,no,11300,1760
18700,no,28,14,no,no,yes,no,0,0
25600,no,35,18,no,no,yes,no,25900,25200
21500,no,39,10,no,no,yes,yes,18500,0
25600,no,33,12,no,no,no,no,25900,25200
12400,no,52,16,no,no,yes,no,25900,25200
13900,no,22,13,no,no,no,no,5020,6820
19000,no,25,12,no,no,yes,no,20100,11100
0,no,28,16,no,no,yes,no,25000,22700
17300,no,27,16,no,no,yes,no,16900,16200
8590,no,30,13,no,no,no,no,8360,7990
14300,no,28,15,no,no,no,no,9670,8090
22300,no,24,12,no,no,yes,no,19100,18300
13700,no,29,11,yes,no,no,yes,14700,15000
16000,no,49,7,yes,no,no,yes,16400,16000
17100,no,22,12,no,no,yes,no,13400,14400
25600,no,30,16,no,no,yes,no,25900,25200
0,no,45,12,no,no,yes,no,24200,25200
25600,no,44,12,no,no,yes,no,24700,24400
25600,no,21,12,no,no,no,no,11500,1950
18700,no,26,13,no,no,yes,no,11700,4140
21000,no,25,16,no,no,yes,no,18800,20100
17000,no,45,8,no,no,yes,yes,16900,15300
1690,no,19,9,no,no,no,yes,3310,10500
12200,no,55,9,no,no,yes,yes,12600,12300
17500,no,22,12,no,no,yes,no,12400,13000
25600,no,37,18,no,no,yes,no,0,16700
25300,no,38,12,no,no,yes,no,25900,25200
2640,no,29,13,no,no,yes,no,18000,11600
1300,no,43,8,no,no,yes,yes,21000,25200
4.43,no,51,10,no,no,yes,yes,25900,19800
13900,no,25,14,no,no,yes,no,11800,11600
10400,no,52,12,no,no,yes,no,20800,20800
25600,no,26,14,no,no,yes,no,22900,24500
25600,no,37,18,no,no,yes,no,25900,25200
25600,no,36,12,no,no,yes,no,25900,25200
21300,no,27,14,no,no,yes,no,6400,18500
25600,no,21,11,no,no,yes,yes,20800,25200
19100,no,44,12,no,no,yes,no,22700,0
25600,no,49,17,no,no,yes,no,25900,25200
7250,no,32,0,no,no,no,yes,4560,3980
22900,no,23,12,no,no,yes,no,16600,17600
20500,no,46,12,no,no,yes,no,18600,18200
19800,no,17,10,no,no,no,yes,0,1540
22500,no,26,12,no,no,yes,no,19100,24800
25600,no,27,12,no,no,yes,no,19600,8180
25600,no,30,15,no,no,yes,no,23900,25200
25500,no,23,12,no,no,no,no,23800,24900
25600,no,22,12,no,no,yes,no,13500,21800
25600,no,30,18,no,no,yes,no,23100,23600
25600,no,32,14,no,no,yes,no,20100,15900
25600,no,27,14,no,no,no,no,15600,24700
12600,no,18,12,no,no,no,no,4730,3330
25600,no,33,18,no,no,no,no,0,0
0,no,22,11,no,no,no,yes,5330,1060
3270,no,23,16,no,no,no,no,2360,0
0,no,51,10,no,no,yes,yes,19000,17500
10900,no,21,15,no,no,no,no,2470,5120
7970,no,18,12,no,no,no,no,9070,9340
0,no,53,10,no,no,yes,yes,0,0
0,no,21,12,no,no,no,no,4060,1870
25600,no,32,16,no,no,yes,no,22500,22700
25600,no,41,12,no,no,yes,no,25900,24700
25600,no,48,12,no,no,no,no,25900,25200
25600,no,25,18,no,no,no,no,2350,211
14300,no,23,16,no,no,no,no,913,8680
0,no,30,12,no,no,yes,no,0,0
0,no,22,12,no,no,yes,no,1810,7110
2170,no,44,10,no,no,yes,yes,5940,2740
7940,no,17,11,no,no,no,yes,2450,3270
594,no,23,12,no,no,no,no,331,0
24400,no,47,8,no,no,yes,yes,25200,22700
0,no,54,12,no,no,yes,no,0,0
19100,no,49,8,no,no,yes,yes,11400,3710
25600,no,36,18,no,no,yes,no,23700,25200
25600,no,33,14,no,no,yes,no,25000,23300
22600,no,43,15,no,no,yes,no,19400,25200
0,no,37,10,no,no,no,yes,17200,18400
16700,no,48,12,no,no,no,no,16500,16600
0,no,54,12,no,no,no,no,0,0
627,no,28,16,no,no,no,no,92.1,0
15300,no,35,3,no,no,yes,yes,19600,20400
0,no,55,12,no,no,yes,no,14700,3130
10200,no,53,7,no,no,yes,yes,22300,21500
14400,no,25,12,no,no,yes,no,19900,17800
23000,no,30,8,no,no,yes,yes,18700,15500
6220,no,44,5,no,no,no,yes,12800,9440
25600,no,44,6,no,no,yes,yes,25900,15200
5020,no,20,10,no,no,no,yes,3810,5230
12700,no,49,9,no,no,yes,yes,17100,12700
23600,no,55,8,no,no,yes,yes,5620,5450
25600,no,51,16,no,no,yes,no,25900,25200
7330,no,24,16,no,no,no,no,9690,16000
22200,no,54,10,no,no,yes,yes,25100,25200
0,no,32,16,yes,no,no,no,17100,1030
11600,no,19,4,no,yes,yes,yes,2300,1790
0,no,36,18,no,no,no,no,0,0
0,no,55,10,no,no,yes,yes,0,0
17500,no,25,12,no,no,yes,no,8680,17700
22900,no,26,18,no,no,yes,no,0,8410
16400,no,19,13,no,no,no,no,5060,5180
23300,no,52,11,no,no,yes,yes,25900,25200
21400,no,19,12,no,no,no,no,4340,4690
14900,no,17,11,no,no,no,yes,43.1,0
11900,no,23,10,no,no,yes,yes,10600,1460
25600,no,44,12,no,no,yes,no,25900,25200
9380,no,28,12,no,no,yes,no,13100,5000
9460,no,49,8,no,no,yes,yes,17900,23700
8490,no,54,10,no,no,yes,yes,14500,8740
3900,no,22,11,no,no,no,yes,5660,0
25600,no,33,13,no,no,yes,no,25900,25200
22700,no,40,12,no,no,no,no,20500,6210
24500,no,47,12,no,no,yes,no,25900,20500
15000,no,21,12,no,no,no,no,9790,2170
1380,no,17,10,no,no,no,yes,0,0
6710,no,16,9,no,no,no,yes,0,1350
13100,no,40,12,no,no,yes,no,15400,12900
25600,no,36,12,no,no,yes,no,25200,25200
25600,no,51,12,no,no,yes,no,25900,25200
25100,no,46,9,no,no,yes,yes,25100,25200
18500,no,33,18,no,no,yes,no,23400,25200
14300,no,28,13,no,no,yes,no,24800,21300
18700,no,27,11,no,no,yes,yes,14300,12800
21900,no,33,12,no,no,no,no,25900,25200
20000,no,26,12,no,no,yes,no,16800,20000
16500,no,24,12,no,no,yes,no,16100,8920
23500,no,28,8,no,no,yes,yes,16500,18300
25400,no,36,12,no,no,yes,no,23900,23300
23400,no,42,12,no,no,yes,no,21500,22100
1400,no,16,10,no,no,no,yes,0,0
0,no,53,14,no,no,yes,no,23000,16300
20200,no,52,10,no,no,yes,yes,17300,16200
0,no,22,12,no,no,no,no,0,0
25600,no,55,14,no,no,yes,no,25900,25200
10800,no,26,14,no,no,yes,no,9930,13400
0,no,38,12,no,no,yes,no,2400,0
18800,no,43,12,no,no,yes,no,14300,3450
19400,no,55,7,no,no,yes,yes,18700,16800
25200,no,49,10,no,no,yes,yes,24100,22800
18700,no,20,12,no,no,no,no,9580,15700
6480,no,18,10,no,no,no,yes,0,0
25600,no,31,16,no,no,yes,no,25900,25200
25600,no,54,18,no,no,yes,no,25900,25200
17300,no,28,12,no,no,yes,no,20700,4070
17700,no,24,12,no,no,yes,no,19000,21000
9380,no,21,8,no,no,no,yes,18400,6780
25600,no,39,8,no,no,yes,yes,24200,20900
25600,no,28,12,no,no,yes,no,23600,21900
23700,no,40,12,no,no,yes,no,25900,25200
22200,no,38,7,no,no,yes,yes,22300,18900
9930,no,16,10,no,no,no,yes,0,521
0,no,43,12,no,no,yes,no,0,0
21200,no,49,12,no,no,yes,no,24800,23200
20000,no,28,14,no,no,no,no,19300,18600
25600,no,22,12,no,no,no,no,15300,14900
9860,no,39,12,no,no,yes,no,7460,8510
12500,no,27,16,no,no,yes,no,21100,24800
15900,no,21,12,no,no,no,no,15700,8120
23700,no,48,11,no,no,yes,yes,25900,25200
25600,no,30,12,no,no,yes,no,25900,25200
10000,no,20,12,no,no,yes,no,11500,8190
13900,no,20,13,no,no,no,no,0,630
0,no,18,12,no,no,no,no,658,1430
8880,no,23,12,no,yes,no,no,5820,18100
12600,no,33,12,no,no,yes,no,18300,13900
25600,no,31,12,no,no,yes,no,21600,21500
731,no,28,12,yes,no,no,no,4700,0
0,no,30,14,no,no,no,no,0,0
582,no,23,13,yes,no,no,no,172,272
16000,no,38,12,no,no,yes,no,10400,11600
18100,no,37,12,yes,no,yes,no,18800,21600
5130,no,16,10,no,no,no,yes,658,630
0,no,18,10,no,no,no,yes,0,2470
24000,no,47,9,no,no,yes,yes,20000,19200
10200,no,17,9,no,no,no,yes,0,3990
18100,no,35,12,yes,no,yes,no,17200,15700
8200,no,19,7,no,yes,no,yes,1250,0
11000,no,36,9,yes,no,yes,yes,18900,18900
0,no,41,8,no,no,yes,yes,0,0
0,no,54,12,no,no,yes,no,0,0
25600,no,51,18,no,no,yes,no,25900,25200
25600,no,55,15,no,no,yes,no,25900,25200
8810,no,29,16,no,no,yes,no,1660,5130
25600,no,46,16,no,no,yes,no,25900,25200
25600,no,30,14,no,no,yes,no,25900,25200
23100,no,28,14,yes,no,yes,no,23000,22600
21900,no,48,12,yes,no,yes,no,24200,22100
21900,no,26,11,yes,no,no,yes,20800,19400
23600,no,32,12,no,no,yes,no,25900,25200
0,no,50,12,no,no,yes,no,0,0
13000,no,20,11,no,no,no,yes,11200,12400
20700,no,21,12,no,no,no,no,11600,14800
8960,no,20,9,no,no,no,yes,4300,8800
12000,no,32,4,no,yes,no,yes,14800,15500
0,no,46,12,no,no,yes,no,0,0
2750,no,18,12,no,no,no,no,2360,1750
3250,no,51,12,no,no,yes,no,22400,21800
25600,no,32,15,no,no,yes,no,25900,25200
4050,no,26,16,no,no,yes,no,8380,10600
9440,no,24,15,no,no,no,no,1060,0
3920,no,46,8,no,no,yes,yes,24000,24000
20700,no,21,16,no,no,no,no,0,0
25600,no,32,16,no,no,yes,no,25000,25200
7730,no,30,18,no,no,no,no,25900,9660
25600,no,25,18,no,no,yes,no,5360,8770
22600,no,51,12,no,no,yes,no,20800,19200
16600,no,21,9,no,yes,yes,yes,7250,9970
25600,no,34,18,no,no,yes,no,25900,25200
25600,no,29,5,no,no,yes,yes,25900,25200
0,no,52,12,no,no,yes,no,9050,4980
0,no,21,14,no,no,no,no,8490,10200
0,no,17,10,no,no,no,yes,3520,4340
10800,no,50,8,no,yes,no,yes,14900,13300
16700,no,21,11,yes,no,no,yes,1890,1370
25000,no,49,12,no,yes,yes,no,21400,21000
0,no,23,18,no,yes,no,no,0,0
0,no,17,12,no,yes,no,no,946,1380
9380,no,52,3,yes,no,yes,yes,12700,12700
17100,no,47,4,no,yes,yes,yes,8890,12300
25300,no,24,4,no,yes,yes,yes,8430,17000
0,no,29,12,no,no,no,no,0,0
10200,no,49,12,no,no,yes,no,6300,4250
564,no,55,12,no,no,yes,no,25900,25200
25600,no,28,12,no,no,no,no,25500,25200
1690,no,19,13,no,no,no,no,3870,4920
25600,no,35,16,no,no,no,no,25800,25200
15100,no,31,12,no,no,yes,no,20600,18900
25600,no,44,12,no,no,yes,no,25900,25200
0,no,54,11,no,no,yes,yes,24300,24700
25600,no,37,12,no,no,yes,no,25900,25200
8330,no,46,12,no,no,yes,no,12000,10500
16000,no,29,12,yes,no,yes,no,18100,14100
14700,no,55,12,no,no,yes,no,16100,14000
22700,no,22,12,no,no,no,no,16000,17400
16800,no,18,11,no,no,no,yes,0,310
25600,no,32,13,no,no,yes,no,25900,25200
0,no,51,12,no,no,yes,no,102,0
24500,no,49,12,no,no,yes,no,25900,15000
25600,no,27,16,no,no,yes,no,25900,25200
5910,no,19,13,no,no,no,no,10100,10500
25600,no,38,3,no,no,yes,yes,25900,25200
25600,no,40,12,no,no,yes,no,23400,22200
25000,no,21,12,no,no,no,no,6340,6720
25600,no,29,12,no,no,yes,no,25900,25200
0,no,39,12,no,no,yes,no,25900,25200
25600,no,39,12,yes,no,yes,no,25900,25200
25600,no,34,14,no,no,yes,no,9580,14900
0,no,26,17,no,no,yes,no,25900,21500
25600,no,40,18,no,no,yes,no,25900,25200
2360,no,31,14,no,no,no,no,2190,4940
25600,no,28,17,no,no,yes,no,25900,25200
6350,no,17,11,no,no,no,yes,0,1030
21000,no,35,12,yes,no,yes,no,21700,21500
0,no,34,15,no,yes,yes,no,18600,24500
20600,no,44,8,no,no,yes,yes,25900,17700
25600,no,54,8,no,no,yes,yes,25300,22200
25600,no,30,10,no,yes,yes,yes,25900,25200
0,no,39,14,yes,no,no,no,0,0
24700,no,29,12,no,no,yes,no,20900,20700
10700,no,25,10,no,no,yes,yes,8660,5150
22300,no,42,5,no,yes,yes,yes,20900,18700
17800,no,48,6,no,yes,yes,yes,14700,18300
0,no,25,6,no,yes,yes,yes,17100,15000
25600,no,49,11,no,no,yes,yes,25900,25200
10400,no,38,12,no,no,no,no,10700,9960
25600,no,38,15,no,no,yes,no,25900,25200
25600,no,31,12,no,no,yes,no,25900,25200
25600,no,41,12,no,no,yes,no,25900,25200
25600,no,25,13,no,no,yes,no,17200,11600
0,no,48,18,no,no,yes,no,7030,7440
11800,no,21,14,no,no,no,no,6450,15300
10700,no,20,14,no,no,no,no,266,1050
1320,no,54,14,no,no,no,no,11300,6230
25600,no,41,8,no,no,yes,yes,25100,19500
1910,no,49,7,no,no,no,yes,11900,2370
13000,no,46,6,no,yes,yes,yes,10300,11300
16600,no,18,11,no,yes,no,yes,0,387
22400,no,30,10,no,no,yes,yes,25900,22400
16900,no,39,12,no,no,yes,no,7160,15700
9440,no,17,10,no,no,no,yes,647,0
21400,no,28,12,no,no,yes,no,16100,12400
8610,no,29,12,no,no,yes,no,12900,13200
24600,no,39,12,no,no,yes,no,25900,25100
16800,no,38,7,no,no,yes,yes,14800,15800
12500,no,29,12,no,no,yes,no,12300,12000
22000,no,39,14,no,no,yes,no,22900,20900
965,no,18,11,no,no,no,yes,327,0
0,no,46,12,no,no,yes,no,0,0
474,no,17,10,no,no,no,yes,102,0
25600,no,47,8,no,no,yes,yes,18400,16400
1030,no,24,17,no,no,no,no,989,4690
25600,no,30,12,no,no,yes,no,25900,25200
9240,no,42,7,no,no,yes,yes,11000,5810
25600,no,27,16,no,no,yes,no,23600,20700
25600,no,50,12,no,no,yes,no,25900,0
23500,no,39,14,no,no,yes,no,20500,22000
0,no,32,12,no,no,yes,no,23400,0
0,no,39,18,no,no,no,no,0,0
7310,no,35,18,no,no,no,no,11800,9150
13400,no,37,8,no,no,yes,yes,13200,13500
0,no,52,13,no,no,yes,no,3140,4090
0,no,40,15,no,no,yes,no,0,0
3940,no,29,16,no,no,no,no,462,1470
5380,no,17,10,no,no,no,yes,0,1230
0,no,43,9,no,no,yes,yes,25900,25200
0,no,51,16,no,no,yes,no,0,0
16500,no,20,12,yes,no,no,no,8060,13200
13200,no,52,8,no,no,yes,yes,10900,13300
12000,no,43,12,no,no,yes,no,16300,14800
21300,no,55,11,no,no,yes,yes,19400,21100
10400,no,31,13,no,no,yes,no,13000,10600
12600,no,29,13,no,no,no,no,16000,10300
11300,no,26,12,no,no,no,no,12900,7290
24100,no,43,12,no,no,yes,no,19600,19500
21600,no,18,12,no,no,no,no,0,408
21700,no,38,12,no,no,yes,no,21400,23400
20200,no,54,14,no,no,yes,no,19200,19400
11700,no,26,18,no,no,no,no,404,10700
25300,no,41,12,no,no,yes,no,23200,24700
0,no,43,12,no,no,yes,no,76.4,0
14500,no,24,14,no,no,yes,no,13200,14300
12700,no,45,12,no,no,yes,no,10600,11600
25600,no,45,14,no,no,yes,no,25900,25200
23400,no,32,12,no,no,yes,no,19700,19700
0,no,42,12,no,no,no,no,10200,15600
20700,no,34,10,no,no,no,yes,8120,4690
8250,no,30,12,no,no,yes,no,9960,9100
3700,no,26,5,no,no,yes,yes,1570,0
1870,no,28,12,no,no,yes,no,0,5710
25600,no,27,7,no,no,yes,yes,22700,18800
20000,no,37,12,no,no,yes,no,22600,21100
25600,no,33,12,no,no,yes,no,17300,25200
5830,no,16,10,no,no,no,yes,139,761
14100,no,46,12,no,no,yes,no,18300,11900
17800,no,41,12,no,no,yes,no,17100,16300
25600,no,46,12,no,no,yes,no,25900,25200
25600,no,50,18,no,no,yes,no,19600,20300
13400,no,49,9,no,no,yes,yes,18100,16600
25600,no,34,12,no,no,yes,no,25900,25200
22700,no,55,12,no,no,yes,no,5770,8820
7320,no,16,10,no,no,no,yes,0,0
25600,no,39,12,no,no,yes,no,24400,21200
0,no,32,12,no,no,yes,no,17000,13800
0,no,46,6,no,no,yes,yes,0,0
399,no,33,12,no,no,yes,no,3010,13000
22900,no,38,10,no,no,yes,yes,25900,25100
0,no,51,12,yes,no,no,no,839,0
0,no,31,13,no,no,yes,no,9670,10200
0,no,47,12,no,no,yes,no,0,0
962,no,19,12,no,no,no,no,876,2350
3580,no,23,12,no,no,yes,no,0,1660
8100,no,45,12,no,no,yes,no,8990,10700
18300,no,26,16,no,no,yes,no,16400,17000
4590,no,36,10,no,no,yes,yes,3640,3480
17300,no,28,12,no,no,yes,no,14600,9080
21300,no,40,12,no,no,yes,no,21400,22700
16500,no,32,12,no,no,yes,no,13700,15200
25500,no,39,12,no,no,yes,no,24000,24200
25600,no,42,12,no,no,yes,no,13700,12300
24900,no,52,12,no,no,yes,no,25900,24700
0,no,48,12,no,no,yes,no,0,0
19800,no,20,12,no,no,no,no,13000,15200
15900,no,28,10,no,no,yes,yes,20500,3610
25600,no,25,13,no,no,yes,no,24200,25200
1890,no,52,8,no,no,no,yes,18100,17900
20800,no,21,14,no,no,no,no,7410,8410
18600,no,34,12,no,no,yes,no,21300,19000
18600,no,27,14,no,no,yes,no,12500,13000
0,no,44,12,no,no,yes,no,23800,5030
8730,no,16,10,no,no,no,yes,0,0
3100,no,44,13,no,no,yes,no,8030,3880
2370,no,37,13,no,no,yes,no,3900,883
19100,no,31,15,no,no,yes,no,14600,5470
15900,no,23,12,no,no,yes,no,11700,757
23100,no,27,12,no,no,yes,no,14000,15800
16400,no,45,6,no,no,no,yes,18100,16500
0,no,48,12,no,no,yes,no,0,0
18600,no,24,12,no,no,yes,no,15000,15400
3090,no,20,13,no,no,yes,no,2540,6650
0,no,31,12,no,no,yes,no,0,0
14600,no,29,12,no,no,yes,no,13200,12300
5040,no,24,10,no,no,yes,yes,5520,0
9090,no,45,8,no,no,yes,yes,10400,4510
3380,no,16,9,no,no,no,yes,468,0
22600,no,26,12,no,no,yes,no,20100,23400
16500,no,25,12,no,no,yes,no,16300,15400
25600,no,51,18,no,no,yes,no,25900,25200
24200,no,38,10,no,no,yes,yes,22700,25200
0,no,32,12,no,no,yes,no,19200,19200
25600,no,47,12,no,no,no,no,11600,25200
25600,no,46,10,no,no,yes,yes,25900,25200
6460,no,23,12,no,no,yes,no,10800,23500
9950,no,22,12,no,no,no,no,12700,9480
20000,no,24,10,no,no,yes,yes,19500,3210
25300,no,35,12,no,no,no,no,23300,21300
25600,no,32,14,no,no,yes,no,25900,25200
25600,no,37,12,no,no,yes,no,25900,23500
15700,no,29,17,no,no,yes,no,4290,3020
0,no,49,8,no,no,yes,yes,25900,25200
25600,no,43,12,no,no,yes,no,12700,14000
24900,no,54,12,no,no,yes,no,25900,15300
6570,no,23,14,no,no,yes,no,13300,11200
5580,no,18,12,no,no,no,no,5160,4630
21100,no,47,8,no,no,yes,yes,17100,17600
22700,no,19,10,no,no,no,yes,3500,30.4
22200,no,31,14,no,no,yes,no,0,0
19300,no,27,14,no,no,yes,no,14100,9340
14500,no,22,13,no,no,no,no,7400,3940
25600,no,39,12,no,no,yes,no,25900,25200
23900,no,30,12,no,no,yes,no,25900,25200
14000,no,38,17,no,no,yes,no,15400,16400
0,no,29,14,no,no,yes,no,0,0
15300,no,26,11,no,no,yes,yes,14800,17300
25600,no,26,17,no,no,yes,no,9530,19800
20500,no,18,11,no,no,no,yes,3810,5400
21900,no,30,14,no,no,yes,no,12000,2310
25600,no,33,8,no,no,yes,yes,25900,22400
21500,no,52,12,no,no,yes,no,4630,12700
7470,no,25,12,no,no,no,no,4680,8360
4720,no,23,12,no,no,no,no,7490,0
25600,no,21,13,no,no,no,no,10300,14700
21100,no,44,12,no,no,yes,no,18900,16200
6560,no,32,13,no,no,no,no,16900,20400
0,no,34,18,no,no,no,no,0,525
25600,no,27,14,no,no,no,no,22900,24000
24400,no,26,14,no,no,no,no,21800,17500
21600,no,26,12,no,no,no,no,23300,16200
10900,no,40,11,no,no,yes,yes,0,5510
25600,no,27,13,no,no,yes,no,12800,0
23300,no,34,12,no,no,yes,no,23600,22700
0,no,46,12,no,no,yes,no,6070,537
25600,no,49,12,no,no,yes,no,25900,25200
1540,no,55,10,no,no,yes,yes,25900,22100
25600,no,33,12,no,no,yes,no,25900,25200
25600,no,45,12,no,no,yes,no,25900,25200
7210,no,29,12,no,no,yes,no,4040,9690
0,no,28,17,no,no,yes,no,0,0
25600,no,24,13,no,no,no,no,11300,14800
16700,no,21,12,no,no,no,no,8650,10600
18000,no,23,12,no,no,yes,no,6640,10200
25600,no,49,12,no,no,yes,no,25900,20600
25600,no,45,10,yes,no,yes,yes,17500,15200
0,no,48,7,no,no,yes,yes,13300,4640
24100,no,50,7,no,no,yes,yes,25500,22700
22600,no,52,8,no,no,yes,yes,25900,13200
14500,no,45,13,no,no,yes,no,25900,19700
20500,no,50,16,no,no,yes,no,20400,18200
3060,no,19,12,no,no,no,no,2360,4620
4620,no,17,14,no,no,no,no,0,1230
25600,no,39,12,no,no,yes,no,25900,25200
25600,no,22,16,no,no,yes,no,5640,8790
24600,no,20,13,no,no,yes,no,12400,14000
0,no,25,14,no,no,yes,no,22100,8850
25600,no,23,12,no,no,yes,no,14500,17200
20700,no,23,16,no,no,no,no,3010,134
4110,no,25,17,no,no,yes,no,4200,2040
1920,no,23,12,no,no,no,no,4670,2590
25600,no,29,13,no,no,yes,no,25400,25200
25600,no,43,16,no,no,yes,no,25900,21200
25600,no,19,12,no,no,yes,no,7680,11900
8070,no,19,12,yes,no,no,no,2400,12100
25600,no,45,9,no,no,yes,yes,12700,15900
4190,no,17,10,no,no,no,yes,0,0
0,no,31,12,no,no,yes,no,10600,17100
31,no,45,8,yes,no,no,yes,3300,0
25600,no,46,12,no,no,yes,no,25900,25200
25600,no,36,14,no,no,yes,no,25900,25200
22900,no,25,16,no,no,yes,no,20200,25200
25600,no,27,18,no,no,no,no,0,11100
0,no,53,12,no,no,yes,no,25900,25200
25600,no,26,16,no,no,yes,no,25900,25200
19000,no,40,10,no,no,yes,yes,25900,25200
20100,no,35,6,no,no,yes,yes,20900,19200
19700,no,28,12,no,no,yes,no,25900,23400
8060,no,23,10,no,no,yes,yes,10100,10800
25600,no,22,12,no,no,yes,no,14700,15800
25600,no,37,12,yes,no,yes,no,25900,23100
25600,no,46,12,no,no,yes,no,25900,25200
0,no,21,15,no,no,yes,no,8610,4220
20800,no,26,13,no,no,no,no,16700,6500
25600,no,38,12,yes,no,yes,no,25800,22900
25600,no,36,12,yes,no,yes,no,25900,25200
0,no,26,14,no,no,no,no,21700,21600
11200,no,21,12,no,no,no,no,4620,609
10100,no,51,12,yes,no,yes,no,6180,2350
3520,no,20,13,yes,no,no,no,2690,0
5990,no,21,12,yes,no,yes,no,0,272
20400,no,26,11,yes,no,yes,yes,19000,18200
20300,no,21,11,yes,no,yes,yes,25900,25200
25600,no,36,12,no,no,yes,no,25900,25200
3860,no,39,12,no,no,no,no,25900,25200
0,no,24,12,no,no,yes,no,0,0
0,no,45,11,no,no,yes,yes,12100,12100
14300,no,27,12,yes,no,yes,no,19500,16600
25600,no,33,12,no,yes,no,no,25900,25200
16300,no,26,9,no,yes,yes,yes,521,2630
0,no,27,12,no,no,yes,no,4220,752
21300,no,31,10,no,yes,yes,yes,23500,17900
869,no,39,10,no,no,yes,yes,3800,19300
8920,no,37,8,no,no,yes,yes,10800,11900
17900,no,54,8,no,no,yes,yes,22900,20100
9750,no,27,12,no,no,yes,no,3360,0
25600,no,29,10,no,no,yes,yes,13200,14800
25600,no,27,18,no,no,yes,no,20700,23200
25600,no,35,10,no,no,yes,yes,19200,13200
0,no,33,14,yes,no,yes,no,0,0
0,no,17,11,no,no,no,yes,0,0
12300,no,20,13,no,no,yes,no,33.3,1310
25600,no,39,8,yes,no,yes,yes,25900,25200
25600,no,51,8,no,no,yes,yes,25900,16600
19500,no,28,8,no,no,yes,yes,1200,0
15900,no,47,4,no,no,yes,yes,22200,16400
0,no,29,15,yes,no,yes,no,0,0
0,no,36,8,yes,no,yes,yes,16300,19300
23000,no,35,15,no,no,no,no,22900,20800
25600,no,49,9,no,no,yes,yes,25900,25200
25600,no,33,17,no,no,yes,no,23800,8260
